3-hydroxy-isovaleryl carnitine	0	5	7	1	7	7	7	8	8	2	9	8	4	6	7	9	5	5	5	2	2	5	6	4	8	8	6	5	6	2	7	2	5	8	6	5	6	2	6	5	5	8	7
L-aspartate(1-)	5	0	4	4	7	4	4	5	5	6	6	5	6	3	4	6	2	5	5	4	6	2	3	7	4	5	3	5	3	5	4	7	2	5	3	2	6	5	3	5	2	5	4
Urate	7	4	0	6	9	6	6	7	7	8	8	3	8	5	6	8	4	7	7	6	8	4	5	9	6	7	5	7	5	7	6	9	4	1	5	4	8	7	5	7	4	7	6
L-Carnitine	1	4	6	0	6	6	6	7	7	1	8	7	3	5	6	8	4	7	4	1	1	4	5	5	7	7	5	4	5	1	6	1	4	7	5	4	5	1	5	4	4	7	6
4-acetamidobutanoate	7	7	9	6	0	5	9	10	10	6	11	10	5	5	9	8	7	6	4	9	5	7	8	6	7	10	8	4	8	4	9	8	7	10	8	7	5	7	8	4	7	10	9
N-acetyl-D-glucosamine	7	4	6	6	5	0	6	7	7	4	6	7	4	4	6	8	4	7	3	6	4	4	5	5	6	7	5	3	5	3	6	9	4	7	5	4	4	7	5	3	4	7	6
indole-3-acetate	7	4	6	6	9	6	0	7	7	8	8	7	8	5	6	6	4	6	7	6	8	4	5	9	4	7	5	7	5	7	4	8	4	7	5	4	8	7	3	7	4	5	6
Folate	8	5	7	7	10	7	7	0	7	9	9	8	9	6	7	9	5	4	8	7	9	5	6	5	7	5	4	8	6	8	7	6	5	8	7	5	9	8	6	8	5	8	7
L-kynurenine	8	5	7	7	10	7	7	7	0	9	9	6	9	6	7	9	5	5	8	7	9	5	6	10	7	8	6	8	6	8	7	7	5	8	6	5	9	8	6	8	5	8	7
butyryl carnitine	2	6	8	1	5	4	8	9	9	0	10	9	4	4	8	7	6	5	3	2	2	6	7	4	6	9	7	3	7	3	8	2	6	9	7	6	4	2	7	3	6	9	8
D-glucitol	9	6	8	8	11	6	8	9	9	10	0	7	10	7	8	10	6	9	9	8	10	6	7	11	8	9	7	9	7	9	8	11	6	9	7	6	10	9	7	9	6	9	8
Inosine	8	5	3	7	10	7	7	8	6	9	7	0	9	6	7	4	5	9	8	7	9	5	6	10	3	8	6	8	6	8	7	11	5	2	6	5	9	8	6	8	5	8	7
adipic acid	4	6	8	3	5	4	8	9	9	4	10	9	0	4	8	7	6	5	3	8	2	6	7	5	6	9	7	3	7	3	8	7	6	9	7	6	4	4	7	3	6	9	8
cis-aconitate(3-)	6	3	5	5	5	4	5	6	6	4	7	6	4	0	5	7	3	6	1	5	4	3	4	5	6	6	4	3	4	3	5	8	3	6	4	3	4	6	4	3	3	6	5
(R)-Pantothenate	7	4	6	6	9	6	6	7	7	9	8	7	8	5	0	8	4	7	7	6	8	4	5	9	6	7	5	7	5	7	6	9	4	7	5	4	8	7	5	7	4	7	6
2-deoxy-D-ribose	9	6	8	8	8	8	6	9	9	7	10	4	7	7	8	0	6	8	6	8	7	6	7	8	4	9	7	6	7	6	6	10	6	4	7	6	7	9	5	6	6	7	5
