3-hydroxy-isovaleryl carnitine	0	132.0	212.0	16.0	88.0	198.0	68.0	134.0	116.0	160.0	102.0	376.0	77.0	509.0	152.0	77.0	424.0	102.0	493.0	116.0	80.0	134.0	180.0	81.0	148.0	84.0	85.0	1045.0	164.0	64.0	272.0	68.0	32.0	189.0	340.0	223.0	112.0	340.0	32.0	204.0	164.0	120.0	194.0	192.0	80.0
L-aspartate(1-)	132.0	0	240.0	130.0	116.0	160.0	96.0	146.0	140.0	274.0	122.0	374.0	105.0	489.0	180.0	105.0	354.0	130.0	473.0	198.0	194.0	162.0	208.0	119.0	113.0	112.0	123.0	1073.0	96.0	92.0	288.0	96.0	146.0	217.0	368.0	243.0	136.0	274.0	146.0	232.0	96.0	148.0	218.0	212.0	108.0
Urate	212.0	240.0	0	200.0	212.0	288.0	180.0	258.0	210.0	344.0	192.0	452.0	201.0	633.0	276.0	201.0	514.0	146.0	617.0	294.0	264.0	178.0	288.0	189.0	224.0	208.0	193.0	1089.0	264.0	188.0	456.0	180.0	216.0	281.0	416.0	313.0	178.0	450.0	216.0	316.0	264.0	164.0	288.0	282.0	172.0
L-Carnitine	16.0	130.0	200.0	0	86.0	194.0	66.0	132.0	100.0	144.0	98.0	374.0	75.0	507.0	150.0	75.0	420.0	90.0	491.0	100.0	64.0	122.0	178.0	77.0	146.0	82.0	81.0	1033.0	162.0	62.0	256.0	66.0	16.0	187.0	338.0	219.0	96.0	338.0	16.0	202.0	162.0	108.0	178.0	188.0	78.0
4-acetamidobutanoate	88.0	116.0	212.0	86.0	0	182.0	52.0	100.0	104.0	230.0	86.0	360.0	61.0	493.0	136.0	61.0	408.0	102.0	477.0	154.0	150.0	134.0	164.0	83.0	132.0	68.0	87.0	1045.0	148.0	48.0	340.0	52.0	102.0	173.0	324.0	207.0	134.0	324.0	102.0	188.0	148.0	120.0	182.0	176.0	64.0
N-acetyl-D-glucosamine	198.0	160.0	288.0	194.0	182.0	0	162.0	228.0	214.0	338.0	160.0	470.0	171.0	585.0	246.0	171.0	482.0	178.0	569.0	264.0	258.0	210.0	256.0	157.0	209.0	178.0	161.0	1121.0	192.0	158.0	384.0	162.0	210.0	283.0	434.0	242.0	210.0	370.0	210.0	298.0	192.0	196.0	292.0	250.0	174.0
indole-3-acetate	68.0	96.0	180.0	66.0	52.0	162.0	0	98.0	74.0	210.0	66.0	340.0	41.0	473.0	116.0	41.0	388.0	70.0	457.0	134.0	130.0	102.0	144.0	63.0	96.0	48.0	67.0	1013.0	128.0	28.0	320.0	16.0	82.0	137.0	304.0	187.0	102.0	304.0	82.0	152.0	128.0	88.0	152.0	156.0	28.0
Folate	134.0	146.0	258.0	132.0	100.0	228.0	98.0	0	150.0	276.0	132.0	406.0	107.0	539.0	182.0	107.0	454.0	148.0	523.0	200.0	196.0	180.0	210.0	129.0	178.0	114.0	133.0	1091.0	178.0	94.0	370.0	98.0	148.0	219.0	370.0	253.0	180.0	356.0	148.0	234.0	178.0	149.0	228.0	222.0	110.0
L-kynurenine	116.0	140.0	210.0	100.0	104.0	214.0	74.0	150.0	0	244.0	118.0	392.0	93.0	525.0	168.0	93.0	440.0	100.0	509.0	186.0	164.0	132.0	196.0	115.0	146.0	100.0	119.0	1043.0	172.0	80.0	356.0	74.0	116.0	195.0	356.0	239.0	132.0	350.0	116.0	210.0	172.0	118.0	178.0	208.0	86.0
butyryl carnitine	160.0	274.0	344.0	144.0	230.0	338.0	210.0	276.0	244.0	0	242.0	518.0	219.0	651.0	294.0	219.0	564.0	234.0	635.0	244.0	208.0	266.0	322.0	221.0	290.0	226.0	225.0	1177.0	306.0	206.0	400.0	210.0	160.0	331.0	482.0	363.0	240.0	482.0	160.0	346.0	306.0	252.0	322.0	332.0	222.0
