3-hydroxy-isovaleryl carnitine	0	1	6	5	6	6	2	6	4	4	7	4	5	4	2	2	3	5	6	5	4	5	2	2	4	2	7
L-Carnitine	1	0	5	4	5	5	1	5	3	3	6	3	4	3	1	1	2	4	5	4	3	4	1	1	3	1	6
4-acetamidobutanoate	6	5	0	5	6	6	5	5	5	5	6	5	5	4	6	5	6	5	4	5	4	4	4	6	5	6	7
N-acetyl-D-glucosamine	5	4	5	0	5	6	4	4	4	4	5	4	5	3	5	4	5	4	5	5	3	5	3	5	2	5	6
indole-3-acetate	6	5	6	5	0	5	5	5	4	5	5	4	3	4	6	5	5	5	4	3	4	4	4	5	4	5	6
Folate	6	5	6	6	5	0	6	5	5	6	5	5	4	6	6	6	5	5	5	4	5	5	6	6	5	6	7
butyryl carnitine	2	1	5	4	5	6	0	6	4	4	6	4	5	3	2	2	3	5	5	5	3	4	2	2	4	2	6
D-glucitol	6	5	5	4	5	5	6	0	4	6	5	4	4	5	6	6	5	4	4	4	5	5	5	6	4	6	6
adipic acid	4	3	5	4	4	5	4	4	0	4	5	4	3	3	4	2	3	3	3	3	3	3	3	4	4	4	4
cis-aconitate(3-)	4	3	5	4	5	6	4	6	4	0	5	3	5	1	4	4	3	5	5	5	3	5	3	4	4	4	6
2-deoxy-D-ribose	7	6	6	5	5	5	6	5	5	5	0	5	5	4	6	5	6	5	4	5	4	4	5	7	5	6	5
(S)-malate(2-)	4	3	5	4	4	5	4	4	4	3	5	0	4	2	4	4	3	4	5	3	3	4	3	4	2	4	6
glycocholate	5	4	5	5	3	4	5	4	3	5	5	4	0	4	4	4	4	4	4	3	4	3	4	4	4	5	5
Citrate	4	3	4	3	4	6	3	5	3	1	4	2	4	0	4	3	3	4	4	4	2	4	2	4	3	4	5
propionyl-carnitine	2	1	6	5	6	6	2	6	4	4	6	4	4	4	0	2	3	5	5	5	4	4	2	2	4	2	6
adipoyl carnitine	2	1	5	4	5	6	2	6	2	4	5	4	4	3	2	0	3	5	4	5	3	3	2	2	4	2	6
3-methyl-2-oxopentanoate	3	2	6	5	5	5	3	5	3	3	6	3	4	3	3	3	0	4	4	4	4	4	3	3	3	3	5
(2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate	5	4	5	4	5	5	5	4	3	5	5	4	4	4	5	5	4	0	4	4	3	5	5	5	4	5	5
5-Methylthioadenosine	6	5	4	5	4	5	5	4	3	5	4	5	4	4	5	4	4	4	0	4	4	3	4	6	5	5	5
phosphatidylserine	5	4	5	5	3	4	5	4	3	5	5	3	3	4	5	5	4	4	4	0	4	4	4	5	3	5	5
N-Acetylmethionine	4	3	4	3	4	5	3	5	3	3	4	3	4	2	4	3	4	3	4	4	0	4	2	4	3	4	5
L-threonate	5	4	4	5	4	5	4	5	3	5	4	4	3	4	4	3	4	5	3	4	4	0	4	5	4	5	6
O-acetylcarnitine	2	1	4	3	4	6	2	5	3	3	5	3	4	2	2	2	3	5	4	4	2	4	0	2	3	2	6
isovalvaleryl carnitine	2	1	6	5	5	6	2	6	4	4	7	4	4	4	2	2	3	5	6	5	4	5	2	0	4	2	7
N-acetylneuraminate	4	3	5	2	4	5	4	4	4	4	5	2	4	3	4	4	3	4	5	3	3	4	3	4	0	4	6
tiglyl carnitine	2	1	6	5	5	6	2	6	4	4	6	4	5	4	2	2	3	5	5	5	4	5	2	2	4	0	7
D-ribitol	7	6	7	6	6	7	6	6	4	6	5	6	5	5	6	6	5	5	5	5	5	6	6	7	6	7	0
