Porphobilinogen	0	4	3	4	4	4	4	4	4	3	3	4	3	3	5	5	4	3	4	5	4	6	3
Urate	4	0	5	5	6	4	5	3	6	5	1	5	4	4	6	6	5	4	5	6	4	6	4
phosphatidylserine	3	5	0	5	5	3	4	4	4	4	4	3	3	3	5	5	5	3	3	5	5	5	4
4-acetamidobutanoate	4	5	5	0	5	6	4	4	6	5	4	5	5	5	5	6	6	5	4	7	5	8	5
N-acetyl-D-glucosamine	4	6	5	5	0	5	3	5	6	4	5	2	4	4	4	5	5	5	3	6	4	8	4
indole-3-acetate	4	4	3	6	5	0	4	4	5	5	4	4	4	4	5	5	5	3	4	6	5	5	3
N-Acetylmethionine	4	5	4	4	3	4	0	4	5	5	4	3	3	3	3	4	4	4	2	5	3	5	3
L-threonate	4	3	4	4	5	4	4	0	5	5	2	4	3	3	5	5	4	3	4	6	3	6	3
Folate	4	6	4	6	6	5	5	5	0	5	5	5	4	5	6	6	5	4	5	7	6	7	5
D-glucitol	3	5	4	5	4	5	5	5	5	0	4	4	4	4	6	6	5	4	5	6	6	7	4
Xanthine	3	1	4	4	5	4	4	2	5	4	0	4	3	3	5	5	4	3	4	5	3	6	3
N-acetylneuraminate	4	5	3	5	2	4	3	4	5	4	4	0	4	4	4	4	5	4	3	6	4	7	3
L-phenylalanine	3	4	3	5	4	4	3	3	4	4	3	4	0	2	4	4	5	3	3	4	4	6	4
adipic acid	3	4	3	5	4	4	3	3	5	4	3	4	2	0	4	4	5	3	3	4	2	6	4
cis-aconitate(3-)	5	6	5	5	4	5	3	5	6	6	5	4	4	4	0	4	5	5	3	6	4	8	4
tiglyl carnitine	5	6	5	6	5	5	4	5	6	6	5	4	4	4	4	0	6	5	4	7	2	6	6
2-deoxy-D-ribose	4	5	5	6	5	5	4	4	5	5	4	5	5	5	5	6	0	5	4	5	5	7	5
glycocholate	3	4	3	5	5	3	4	3	4	4	3	4	3	3	5	5	5	0	3	5	4	5	4
N-acetyl-L-alanine	4	5	3	4	3	4	2	4	5	5	4	3	3	3	3	4	4	3	0	5	3	6	3
D-ribitol	5	6	5	7	6	6	5	6	7	6	5	6	4	4	6	7	5	5	5	0	6	8	6
adipoyl carnitine	4	4	5	5	4	5	3	3	6	6	3	4	4	2	4	2	5	4	3	6	0	7	4
creatinine	6	6	5	8	8	5	5	6	7	7	6	7	6	6	8	6	7	5	6	8	7	0	6
dopamine 3-O-sulfate	3	4	4	5	4	3	3	3	5	4	3	3	4	4	4	6	5	4	3	6	4	6	0
