L-asparagine	0	4	5	4	5	2147483647	5	6	2147483647	11	3	6	5	2147483647	3	5	6	4	2147483647	6	5	9	7	5	3	5	6	7
L-methionine	4	0	5	4	5	2147483647	7	5	2147483647	7	3	6	5	2147483647	3	5	6	4	2147483647	6	6	9	7	4	3	5	6	6
4-acetamidobutanoate	5	5	0	5	6	2147483647	7	6	2147483647	9	4	7	6	2147483647	4	6	7	6	2147483647	7	7	10	8	6	5	6	7	7
L-cystine	4	4	5	0	5	2147483647	6	3	2147483647	9	3	5	8	2147483647	3	5	12	6	2147483647	5	3	8	6	4	6	5	3	4
taurocholic acid	5	5	6	5	0	2147483647	7	5	2147483647	7	4	6	6	2147483647	4	4	5	6	2147483647	6	6	9	7	2	5	4	6	6
5-Hydroxyindoleacetate	2147483647	2147483647	2147483647	2147483647	2147483647	0	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	4	2147483647	2147483647	3	2147483647	2147483647	2147483647	2147483647	2147483647
citr_L[e]	5	7	7	6	7	2147483647	0	3	2147483647	10	6	8	8	2147483647	6	7	11	8	2147483647	8	6	11	9	6	7	7	4	2
L-glutamate(1-)	6	5	6	3	5	2147483647	3	0	2147483647	7	5	5	7	2147483647	4	5	9	6	2147483647	5	5	8	6	3	5	4	1	1
4-pyridoxate	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	0	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647
5,6-dihydrothymine	11	7	9	9	7	2147483647	10	7	2147483647	0	7	9	13	2147483647	8	7	13	11	2147483647	9	9	13	10	7	10	5	9	8
O-acetylcarnitine	3	3	4	3	4	2147483647	6	5	2147483647	7	0	5	4	2147483647	2	2	5	4	2147483647	5	5	8	6	4	3	2	5	6
L-kynurenine	6	6	7	5	6	2147483647	8	5	2147483647	9	5	0	2147483647	2147483647	3	7	2147483647	8	2147483647	2	5	15	3	4	13	7	4	6
3-(4-hydroxyphenyl)lactate	5	5	6	8	6	2147483647	8	7	2147483647	13	4	2147483647	0	2147483647	4	6	2	8	3	2147483647	8	14	2147483647	6	12	6	7	8
indole-3-acetate	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	0	2147483647	2147483647	2147483647	2147483647	2147483647	3	2147483647	2147483647	4	2147483647	2147483647	2147483647	2147483647	2147483647
N-acetyl-L-alanine	3	3	4	3	4	2147483647	6	4	2147483647	8	2	3	4	2147483647	0	4	5	3	2147483647	3	4	8	4	3	2	4	3	5
L-Octanoylcarnitine	5	5	6	5	4	2147483647	7	5	2147483647	7	2	7	6	2147483647	4	0	7	6	2147483647	7	6	9	8	4	5	2	6	6
L-tyrosine	6	6	7	12	5	2147483647	11	9	2147483647	13	5	2147483647	2	2147483647	5	7	0	8	1	2147483647	5	15	2147483647	8	13	7	10	10
N-acetyl-D-glucosamine	4	4	6	6	6	2147483647	8	6	2147483647	11	4	8	8	2147483647	3	6	8	0	2147483647	9	6	10	10	6	7	6	8	7
L-phenylalanine	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	3	2147483647	2147483647	2147483647	1	2147483647	0	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647
L-tryptophan	6	6	7	5	6	4	8	5	2147483647	9	5	2	2147483647	3	3	7	2147483647	9	2147483647	0	5	15	1	4	13	7	4	6
D-glycerate	5	6	7	3	6	2147483647	6	5	2147483647	9	5	5	8	2147483647	4	6	5	6	2147483647	5	0	8	6	5	6	6	6	6
D-gluconate	9	9	10	8	9	2147483647	11	8	2147483647	13	8	15	14	2147483647	8	9	15	10	2147483647	15	8	0	16	9	13	10	9	9
5-hydroxy-L-tryptophan	7	7	8	6	7	3	9	6	2147483647	10	6	3	2147483647	4	4	8	2147483647	10	2147483647	1	6	16	0	5	14	8	5	7
glycocholate	5	4	6	4	2	2147483647	6	3	2147483647	7	4	4	6	2147483647	3	4	8	6	2147483647	4	5	9	5	0	5	4	4	4
cortisol	3	3	5	6	5	2147483647	7	5	2147483647	10	3	13	12	2147483647	2	5	13	7	2147483647	13	6	13	14	5	0	5	5	6
O-Propanoylcarnitine	5	5	6	5	4	2147483647	7	4	2147483647	5	2	7	6	2147483647	4	2	7	6	2147483647	7	6	10	8	4	5	0	5	5
5-oxoprolinate	6	6	7	3	6	2147483647	4	1	2147483647	9	5	4	7	2147483647	3	6	10	8	2147483647	4	6	9	5	4	5	5	0	2
L-glutamine	7	6	7	4	6	2147483647	2	1	2147483647	8	6	6	8	2147483647	5	6	10	7	2147483647	6	6	9	7	4	6	5	2	0
