Porphobilinogen	0	208.0	1041.0	68.0	178.0	48.0	144.0	44.0	114.0	82.0	320.0	203.0	130.0	57.0	489.0	98.0	57.0	98.0	144.0	116.0	146.0	172.0	60.0
Urate	208.0	0	1089.0	212.0	288.0	180.0	264.0	188.0	258.0	192.0	416.0	313.0	178.0	201.0	633.0	216.0	201.0	146.0	264.0	164.0	264.0	282.0	172.0
phosphatidylserine	1041.0	1089.0	0	1045.0	1121.0	1013.0	1097.0	1021.0	1091.0	1025.0	1249.0	1146.0	1011.0	1034.0	1466.0	1049.0	1034.0	979.0	1097.0	997.0	1097.0	1115.0	1005.0
4-acetamidobutanoate	68.0	212.0	1045.0	0	182.0	52.0	148.0	48.0	100.0	86.0	324.0	207.0	134.0	61.0	493.0	102.0	61.0	102.0	148.0	120.0	150.0	176.0	64.0
N-acetyl-D-glucosamine	178.0	288.0	1121.0	182.0	0	162.0	192.0	158.0	228.0	160.0	434.0	242.0	210.0	171.0	585.0	210.0	171.0	178.0	192.0	196.0	258.0	250.0	174.0
indole-3-acetate	48.0	180.0	1013.0	52.0	162.0	0	128.0	28.0	98.0	66.0	304.0	187.0	102.0	41.0	473.0	82.0	41.0	70.0	128.0	88.0	130.0	156.0	28.0
N-Acetylmethionine	144.0	264.0	1097.0	148.0	192.0	128.0	0	124.0	178.0	154.0	400.0	275.0	168.0	137.0	521.0	178.0	137.0	154.0	128.0	172.0	226.0	244.0	140.0
L-threonate	44.0	188.0	1021.0	48.0	158.0	28.0	124.0	0	94.0	62.0	300.0	183.0	110.0	37.0	469.0	78.0	37.0	78.0	124.0	96.0	126.0	152.0	40.0
Folate	114.0	258.0	1091.0	100.0	228.0	98.0	178.0	94.0	0	132.0	370.0	253.0	180.0	107.0	539.0	148.0	107.0	148.0	178.0	149.0	196.0	222.0	110.0
D-glucitol	82.0	192.0	1025.0	86.0	160.0	66.0	154.0	62.0	132.0	0	338.0	185.0	114.0	75.0	507.0	114.0	75.0	82.0	154.0	100.0	162.0	154.0	78.0
Xanthine	320.0	416.0	1249.0	324.0	434.0	304.0	400.0	300.0	370.0	338.0	0	459.0	338.0	313.0	745.0	354.0	313.0	306.0	400.0	324.0	402.0	428.0	316.0
N-acetylneuraminate	203.0	313.0	1146.0	207.0	242.0	187.0	275.0	183.0	253.0	185.0	459.0	0	235.0	196.0	628.0	235.0	196.0	203.0	275.0	221.0	283.0	275.0	199.0
L-phenylalanine	130.0	178.0	1011.0	134.0	210.0	102.0	168.0	110.0	180.0	114.0	338.0	235.0	0	123.0	555.0	112.0	123.0	68.0	168.0	86.0	160.0	204.0	94.0
adipic acid	57.0	201.0	1034.0	61.0	171.0	41.0	137.0	37.0	107.0	75.0	313.0	196.0	123.0	0	482.0	91.0	50.0	91.0	137.0	109.0	89.0	165.0	53.0
cis-aconitate(3-)	489.0	633.0	1466.0	493.0	585.0	473.0	521.0	469.0	539.0	507.0	745.0	628.0	555.0	482.0	0	523.0	482.0	523.0	521.0	541.0	571.0	597.0	485.0
tiglyl carnitine	98.0	216.0	1049.0	102.0	210.0	82.0	178.0	78.0	148.0	114.0	354.0	235.0	112.0	91.0	523.0	0	91.0	106.0	178.0	124.0	80.0	204.0	94.0
2-deoxy-D-ribose	57.0	201.0	1034.0	61.0	171.0	41.0	137.0	37.0	107.0	75.0	313.0	196.0	123.0	50.0	482.0	91.0	0	91.0	137.0	109.0	139.0	165.0	53.0
glycocholate	98.0	146.0	979.0	102.0	178.0	70.0	154.0	78.0	148.0	82.0	306.0	203.0	68.0	91.0	523.0	106.0	91.0	0	154.0	54.0	154.0	172.0	62.0
N-acetyl-L-alanine	144.0	264.0	1097.0	148.0	192.0	128.0	128.0	124.0	178.0	154.0	400.0	275.0	168.0	137.0	521.0	178.0	137.0	154.0	0	172.0	226.0	244.0	140.0
D-ribitol	116.0	164.0	997.0	120.0	196.0	88.0	172.0	96.0	149.0	100.0	324.0	221.0	86.0	109.0	541.0	124.0	109.0	54.0	172.0	0	172.0	190.0	80.0
adipoyl carnitine	146.0	264.0	1097.0	150.0	258.0	130.0	226.0	126.0	196.0	162.0	402.0	283.0	160.0	89.0	571.0	80.0	139.0	154.0	226.0	172.0	0	252.0	142.0
creatinine	172.0	282.0	1115.0	176.0	250.0	156.0	244.0	152.0	222.0	154.0	428.0	275.0	204.0	165.0	597.0	204.0	165.0	172.0	244.0	190.0	252.0	0	168.0
dopamine 3-O-sulfate	60.0	172.0	1005.0	64.0	174.0	28.0	140.0	40.0	110.0	78.0	316.0	199.0	94.0	53.0	485.0	94.0	53.0	62.0	140.0	80.0	142.0	168.0	0
