3-hydroxy-isovaleryl carnitine	0	6	1	3	6	5	2	3	4	3	7	6	2	6	4	5	6	5	2	6	2	4	7	5	9
Urate	6	0	4	6	6	8	5	6	7	6	7	4	5	4	6	3	5	8	5	7	5	4	7	3	7
L-Carnitine	1	4	0	5	7	7	1	5	6	5	8	4	1	4	5	3	8	7	1	8	1	6	8	3	11
4-acetamidobutanoate	3	6	5	0	5	2	6	2	3	2	6	6	4	6	5	5	5	4	5	5	6	3	6	5	8
N-acetyl-D-glucosamine	6	6	7	5	0	7	8	5	4	5	5	6	8	6	4	5	3	7	3	8	8	6	2	5	11
Folate	5	8	7	2	7	0	8	4	5	4	8	8	6	8	7	7	6	6	6	7	8	5	8	3	10
butyryl carnitine	2	5	1	6	8	8	0	6	7	6	9	5	2	5	6	4	9	8	2	9	2	7	9	4	12
adipic acid	3	6	5	2	5	4	6	0	3	2	6	6	2	6	5	5	5	4	5	5	6	3	6	5	8
cis-aconitate(3-)	4	7	6	3	4	5	7	3	0	3	7	7	5	7	6	6	3	5	3	6	7	4	7	6	9
2-deoxy-D-ribose	3	6	5	2	5	4	6	2	3	0	6	6	4	6	5	5	5	4	5	5	6	3	6	5	8
(S)-malate(2-)	7	7	8	6	5	8	9	6	7	6	0	7	9	7	5	6	6	8	6	9	9	7	6	6	12
glycocholate	6	4	4	6	6	8	5	6	7	6	7	0	5	4	6	3	5	8	5	7	5	4	7	3	7
adipoyl carnitine	2	5	1	4	8	6	2	2	5	4	9	5	0	5	6	4	7	6	2	7	2	5	9	4	10
3-methyl-2-oxopentanoate	6	4	4	6	6	8	5	6	7	6	7	4	5	0	6	3	5	8	5	7	5	4	7	3	7
(2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate	4	6	5	5	4	7	6	5	6	5	5	6	6	6	0	5	7	7	6	8	6	6	5	5	11
phosphatidylserine	5	3	3	5	5	7	4	5	6	5	6	3	4	3	5	0	4	7	4	6	4	3	6	2	6
N-Acetylmethionine	6	5	8	5	3	6	9	5	3	5	6	5	7	5	7	4	0	7	2	8	9	6	8	4	11
L-threonate	5	8	7	4	7	6	8	4	5	4	8	8	6	8	7	7	7	0	7	7	8	5	8	7	10
O-acetylcarnitine	2	5	1	5	3	6	2	5	3	5	6	5	2	5	6	4	2	7	0	8	2	6	8	4	11
N-benzoylglycinate	6	7	8	5	8	7	9	5	6	5	9	7	7	7	8	6	8	7	8	0	9	6	9	6	7
isovalvaleryl carnitine	2	5	1	6	8	8	2	6	7	6	9	5	2	5	6	4	9	8	2	9	0	7	9	4	12
Xanthine	4	4	6	3	6	5	7	3	4	3	7	4	5	4	6	3	6	5	6	6	7	0	7	3	9
N-acetylneuraminate	7	7	8	6	2	8	9	6	7	6	6	7	9	7	5	6	8	8	8	9	9	7	0	6	12
D-ribitol	5	3	3	5	5	3	4	5	6	5	6	3	4	3	5	2	4	7	4	6	4	3	6	0	6
dopamine 3-O-sulfate	9	7	11	8	11	10	12	8	9	8	12	7	10	7	11	6	11	10	11	7	12	9	12	6	0
