lightest Path square
L-Carnitine	0	5	7	7	1	7	5	6	5	4	1	1	6	5	6	3	8	7	1	1	6	8	1	8	3	7	11	
4-acetamidobutanoate	5	0	5	2	6	5	2	3	2	6	4	4	3	5	3	5	5	4	5	6	3	6	6	5	5	5	8	
N-acetyl-D-glucosamine	7	5	0	7	8	4	5	4	5	6	7	8	4	4	6	5	3	7	3	8	6	2	8	3	5	4	11	
Folate	7	2	7	0	8	7	4	5	4	8	6	6	5	7	5	7	6	6	6	8	5	8	8	6	3	7	10	
butyryl carnitine	1	6	8	8	0	8	6	7	6	5	2	2	7	6	7	4	9	8	2	2	7	9	2	9	4	8	12	
D-glucitol	7	5	4	7	8	0	5	6	5	6	7	8	4	4	6	5	7	7	7	8	6	5	8	7	5	4	11	
adipic acid	5	2	5	4	6	5	0	3	2	6	4	2	3	5	3	5	5	4	5	6	3	6	6	5	5	5	8	
cis-aconitate(3-)	6	3	4	5	7	6	3	0	3	7	5	5	4	6	4	6	3	5	3	7	4	7	7	3	6	6	9	
2-deoxy-D-ribose	5	2	5	4	6	5	2	3	0	6	4	4	3	5	3	5	5	4	5	6	3	6	6	5	5	5	8	
glycocholate	4	6	6	8	5	6	6	7	6	0	8	5	6	6	7	3	5	8	5	5	4	7	5	5	3	6	7	
propionyl-carnitine	1	4	7	6	2	7	4	5	4	8	0	2	5	7	5	7	7	6	2	2	5	8	2	7	7	7	10	
adipoyl carnitine	1	4	8	6	2	8	2	5	4	5	2	0	5	6	5	4	7	6	2	2	5	9	2	7	4	8	10	
D-glycerate	6	3	4	5	7	4	3	4	3	6	5	5	0	4	4	5	6	5	6	7	4	5	7	6	5	4	9	
(2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate	5	5	4	7	6	4	5	6	5	6	7	6	4	0	6	5	7	7	6	6	6	5	6	7	5	4	11	
Porphobilinogen	6	3	6	5	7	6	3	4	3	7	5	5	4	6	0	6	6	5	6	7	4	7	7	6	6	6	9	
phosphatidylserine	3	5	5	7	4	5	5	6	5	3	7	4	5	5	6	0	4	7	4	4	3	6	4	4	2	5	6	
N-Acetylmethionine	8	5	3	6	9	7	5	3	5	5	7	7	6	7	6	4	0	7	2	9	6	8	9	2	4	7	11	
L-threonate	7	4	7	6	8	7	4	5	4	8	6	6	5	7	5	7	7	0	7	8	5	8	8	7	7	7	10	
O-acetylcarnitine	1	5	3	6	2	7	5	3	5	5	2	2	6	6	6	4	2	7	0	2	6	8	2	2	4	7	11	
isovalvaleryl carnitine	1	6	8	8	2	8	6	7	6	5	2	2	7	6	7	4	9	8	2	0	7	9	2	9	4	8	12	
Xanthine	6	3	6	5	7	6	3	4	3	4	5	5	4	6	4	3	6	5	6	7	0	7	7	6	3	6	9	
N-acetylneuraminate	8	6	2	8	9	5	6	7	6	7	8	9	5	5	7	6	8	8	8	9	7	0	9	8	6	5	12	
tiglyl carnitine	1	6	8	8	2	8	6	7	6	5	2	2	7	6	7	4	9	8	2	2	7	9	0	9	4	8	12	
N-acetyl-L-alanine	8	5	3	6	9	7	5	3	5	5	7	7	6	7	6	4	2	7	2	9	6	8	9	0	4	7	11	
D-ribitol	3	5	5	3	4	5	5	6	5	3	7	4	5	5	6	2	4	7	4	4	3	6	4	4	0	5	6	
creatinine	7	5	4	7	8	4	5	6	5	6	7	8	4	4	6	5	7	7	7	8	6	5	8	7	5	0	11	
dopamine 3-O-sulfate	11	8	11	10	12	11	8	9	8	7	10	10	9	11	9	6	11	10	11	12	9	12	12	11	6	11	0	
