lightest Path square
3-hydroxy-isovaleryl carnitine	0	7	6	1	3	6	6	5	9	2	6	3	3	4	3	3	7	6	3	2	2	6	4	4	14	4	5	5	6	5	2	6	2	7	4	7	7	4	2	5	6	5	7	6	9
L-aspartate(1-)	7	0	8	9	6	4	9	7	10	10	8	3	6	4	6	6	3	8	3	8	8	8	7	8	5	7	9	7	3	8	3	9	10	10	7	9	6	4	10	8	3	7	8	8	12
Urate	6	8	0	4	6	6	7	8	8	5	6	3	6	7	6	6	7	4	6	8	5	4	6	6	8	7	7	3	5	8	5	7	5	5	4	7	4	8	5	6	5	3	6	6	7
L-Carnitine	1	9	4	0	5	7	8	7	8	1	7	5	5	6	5	5	8	4	5	1	1	4	6	5	10	6	6	3	8	7	1	8	1	9	6	8	6	6	1	7	8	3	6	7	11
4-acetamidobutanoate	3	6	6	5	0	5	5	2	7	6	5	2	2	3	2	2	6	6	2	4	4	6	3	5	13	3	6	5	5	4	5	5	6	6	3	6	6	3	6	4	5	5	5	5	8
N-acetyl-D-glucosamine	6	4	6	7	5	0	8	7	10	8	4	5	5	4	5	5	5	6	3	7	8	6	4	4	5	6	5	5	3	7	3	8	8	9	6	2	6	4	8	7	3	5	8	4	11
indole-3-acetate	6	9	7	8	5	8	0	7	10	9	8	5	5	6	5	5	9	7	5	7	7	7	6	8	12	6	9	6	8	7	8	4	9	5	6	9	7	6	9	3	8	6	8	8	7
Folate	5	7	8	7	2	7	7	0	9	8	7	4	4	5	4	4	8	8	4	6	6	8	5	7	15	5	8	7	6	6	6	7	8	8	5	8	8	7	8	6	6	3	7	7	10
L-kynurenine	9	10	8	8	7	10	10	9	0	9	10	7	7	8	7	7	11	8	7	9	9	8	8	10	10	8	11	7	9	9	9	10	9	11	8	11	8	10	9	9	9	7	6	10	13
butyryl carnitine	2	10	5	1	6	8	9	8	9	0	8	6	6	7	6	6	9	5	6	2	2	5	7	6	11	7	7	4	9	8	2	9	2	10	7	9	7	7	2	8	9	4	7	8	12
D-glucitol	6	8	6	7	5	4	8	7	10	8	0	5	5	6	5	5	5	6	5	7	8	6	4	4	16	6	5	5	7	7	7	8	8	9	6	5	6	8	8	7	7	5	8	4	11
Inosine	3	3	3	5	2	5	5	4	7	6	5	0	2	3	2	2	6	3	2	4	4	3	3	5	7	3	6	2	5	4	5	5	6	6	3	6	3	3	6	4	5	2	5	5	8
adipic acid	3	6	6	5	2	5	5	4	7	6	5	2	0	3	2	2	6	6	2	4	2	6	3	5	13	3	6	5	5	4	5	5	6	6	3	6	6	3	6	4	5	5	5	5	8
cis-aconitate(3-)	4	4	7	6	3	4	6	5	8	7	6	3	3	0	3	3	7	7	1	5	5	7	4	6	5	4	7	6	3	5	3	6	7	7	4	7	7	4	7	5	3	6	6	6	9
(R)-Pantothenate	3	6	6	5	2	5	5	4	7	6	5	2	2	3	0	2	6	6	2	4	4	6	3	5	13	3	6	5	5	4	5	5	6	6	3	6	6	3	6	4	5	5	5	5	8
