3-hydroxy-isovaleryl carnitine	0	4	6	1	6	5	6	6	4	2	6	6	4	4	6	7	4	5	4	2	2	3	5	5	6	5	4	5	4	5	2	6	2	4	5	4	4	5	2	5	4	7	5	7	6
L-aspartate(1-)	4	0	4	3	5	4	4	4	2	4	4	3	2	3	3	5	2	3	2	4	4	3	4	3	3	3	2	3	3	4	3	4	4	2	4	3	2	3	4	4	3	4	2	6	4
Urate	6	4	0	5	5	6	4	6	4	5	5	3	4	6	5	5	5	4	5	5	4	5	6	5	4	4	4	5	5	3	5	4	6	4	1	5	4	5	6	4	5	6	4	6	4
L-Carnitine	1	3	5	0	5	4	5	5	3	1	5	5	3	3	5	6	3	4	3	1	1	2	4	4	5	4	3	4	3	4	1	5	1	3	4	3	3	4	1	5	3	6	4	7	5
4-acetamidobutanoate	6	5	5	5	0	5	6	6	5	5	5	5	5	5	6	6	5	5	4	6	5	6	6	5	4	4	4	5	4	4	4	6	6	5	4	5	5	5	6	6	4	7	5	8	5
N-acetyl-D-glucosamine	5	4	6	4	5	0	5	6	5	4	4	5	4	4	5	5	4	5	3	5	4	5	5	4	5	4	3	5	3	5	3	5	5	4	5	2	4	4	5	6	3	6	4	8	4
indole-3-acetate	6	4	4	5	6	5	0	5	4	5	5	3	4	5	5	5	4	3	4	6	5	5	5	5	4	4	4	3	4	4	4	2	5	3	4	4	4	4	5	3	4	6	3	5	3
Folate	6	4	6	5	6	6	5	0	4	6	5	5	5	6	6	5	5	4	6	6	6	5	5	5	5	4	4	4	5	5	6	5	6	4	5	5	4	4	6	5	5	7	4	7	5
L-kynurenine	4	2	4	3	5	5	4	4	0	4	4	4	3	4	4	5	3	3	4	4	4	3	4	3	4	3	2	3	3	4	4	4	4	2	4	3	2	3	4	4	2	5	2	6	4
butyryl carnitine	2	4	5	1	5	4	5	6	4	0	6	5	4	4	5	6	4	5	3	2	2	3	5	5	5	5	4	5	3	4	2	5	2	4	4	4	4	4	2	5	3	6	4	7	5
D-glucitol	6	4	5	5	5	4	5	5	4	6	0	4	4	6	5	5	4	4	5	6	6	5	4	4	4	3	3	4	5	5	5	5	6	4	4	4	4	4	6	5	5	6	4	7	4
Inosine	6	3	3	5	5	5	3	5	4	5	4	0	3	5	4	4	4	4	4	5	4	4	5	4	3	3	3	4	4	3	5	3	6	3	2	4	3	4	6	4	4	4	3	6	4
adipic acid	4	2	4	3	5	4	4	5	3	4	4	3	0	4	3	5	4	3	3	4	2	3	4	3	3	3	2	3	3	3	3	4	4	2	3	4	2	3	4	4	3	4	2	6	4
cis-aconitate(3-)	4	3	6	3	5	4	5	6	4	4	6	5	4	0	5	5	3	5	1	4	4	3	5	5	5	5	4	5	3	5	3	5	4	4	5	4	4	4	4	6	3	6	4	8	4
(R)-Pantothenate	6	3	5	5	6	5	5	6	4	5	5	4	3	5	0	6	5	4	4	5	5	4	5	4	4	4	3	4	4	5	5	5	6	3	5	4	3	4	6	5	4	5	3	7	5
2-deoxy-D-ribose	7	5	5	6	6	5	5	5	5	6	5	4	5	5	6	0	5	5	4	6	5	6	4	5	4	4	4	5	4	4	5	5	7	5	4	5	5	5	6	5	4	5	5	7	5
(S)-malate(2-)	4	2	5	3	5	4	4	5	3	4	4	4	4	3	5	5	0	4	2	4	4	3	3	4	5	4	3	3	3	4	3	4	4	4	4	2	4	3	4	4	3	6	4	6	4
glycocholate	5	3	4	4	5	5	3	4	3	5	4	4	3	5	4	5	4	0	4	4	4	4	4	4	4	3	3	3	4	3	4	3	4	3	3	4	3	3	5	3	3	5	3	5	4
Citrate	4	2	5	3	4	3	4	6	4	3	5	4	3	1	4	4	2	4	0	4	3	3	4	4	4	4	3	4	2	4	2	4	4	3	4	3	3	3	4	5	2	5	3	7	3
propionyl-carnitine	2	4	5	1	6	5	6	6	4	2	6	5	4	4	5	6	4	4	4	0	2	3	5	5	5	5	4	5	4	4	2	6	2	4	4	4	4	5	2	5	4	6	4	7	5
adipoyl carnitine	2	4	4	1	5	4	5	6	4	2	6	4	2	4	5	5	4	4	3	2	0	3	5	5	4	4	4	5	3	3	2	5	2	4	3	4	4	4	2	5	3	6	4	7	4
3-methyl-2-oxopentanoate	3	3	5	2	6	5	5	5	3	3	5	4	3	3	4	6	3	4	3	3	3	0	4	4	4	4	3	4	4	4	3	5	3	3	4	3	3	4	3	5	4	5	3	7	5
D-glycerate	5	4	6	4	6	5	5	5	4	5	4	5	4	5	5	4	3	4	4	5	5	4	0	5	5	4	4	3	4	5	4	5	5	4	5	3	4	3	5	5	4	5	4	7	5
(2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate	5	3	5	4	5	4	5	5	3	5	4	4	3	5	4	5	4	4	4	5	5	4	5	0	4	3	1	4	3	5	5	5	5	3	4	4	3	4	5	4	3	5	3	6	4
5-Methylthioadenosine	6	3	4	5	4	5	4	5	4	5	4	3	3	5	4	4	5	4	4	5	4	4	5	4	0	3	3	4	4	3	4	4	6	3	3	5	3	4	5	3	4	5	3	5	4
Porphobilinogen	5	3	4	4	4	4	4	4	3	5	3	3	3	5	4	4	4	3	4	5	4	4	4	3	3	0	2	3	4	4	4	4	5	3	3	4	3	3	5	4	4	5	3	6	3
L-glutamine	4	2	4	3	4	3	4	4	2	4	3	3	2	4	3	4	3	3	3	4	4	3	4	1	3	2	0	3	2	4	4	4	4	2	3	3	2	3	4	3	2	4	2	5	3
phosphatidylserine	5	3	5	4	5	5	3	4	3	5	4	4	3	5	4	5	3	3	4	5	5	4	3	4	4	3	3	0	4	4	4	3	5	3	4	3	3	2	5	3	3	5	3	5	4
N-Acetylmethionine	4	3	5	3	4	3	4	5	3	3	5	4	3	3	4	4	3	4	2	4	3	4	4	3	4	4	2	4	0	4	2	4	4	3	4	3	3	3	4	3	2	5	3	5	3
L-threonate	5	4	3	4	4	5	4	5	4	4	5	3	3	5	5	4	4	3	4	4	3	4	5	5	3	4	4	4	4	0	4	4	5	3	2	4	3	4	5	4	4	6	3	6	3
O-acetylcarnitine	2	3	5	1	4	3	4	6	4	2	5	5	3	3	5	5	3	4	2	2	2	3	4	5	4	4	4	4	2	4	0	4	2	4	4	3	4	3	2	5	2	6	4	7	4
N-benzoylglycinate	6	4	4	5	6	5	2	5	4	5	5	3	4	5	5	5	4	3	4	6	5	5	5	5	4	4	4	3	4	4	4	0	5	3	4	4	4	4	5	3	4	6	4	5	3
isovalvaleryl carnitine	2	4	6	1	6	5	5	6	4	2	6	6	4	4	6	7	4	4	4	2	2	3	5	5	6	5	4	5	4	5	2	5	0	4	5	4	4	5	2	5	4	7	5	7	6
