3-hydroxy-isovaleryl carnitine	0	5	1	5	2	4	5	4	5	4	2	2	4	6	4	5	5	4	2	2	5	2	5	2147483647	4
L-aspartate(1-)	5	0	4	4	4	4	3	5	2	2	4	4	5	4	4	6	3	3	3	5	3	5	4	2147483647	3
L-Carnitine	1	4	0	4	1	3	4	5	4	3	1	1	4	5	5	5	5	3	1	1	4	1	4	2147483647	3
N-acetyl-D-glucosamine	5	4	4	0	4	4	4	5	4	3	5	4	5	5	5	6	5	3	3	5	2	5	4	2147483647	3
butyryl carnitine	2	4	1	4	0	4	4	4	4	3	2	2	4	5	4	5	5	3	2	2	4	2	4	2147483647	3
adipic acid	4	4	3	4	4	0	4	4	4	3	4	2	4	5	4	4	5	3	3	4	4	4	4	2147483647	3
cis-aconitate(3-)	5	3	4	4	4	4	0	5	3	1	5	4	5	5	5	5	4	3	3	5	4	5	4	2147483647	3
glycocholate	4	5	5	5	4	4	5	0	4	4	4	4	4	5	4	3	4	4	4	4	4	4	5	2147483647	3
(S)-malate(2-)	5	2	4	4	4	4	3	4	0	2	4	4	5	3	5	5	4	3	3	5	2	5	4	2147483647	3
Citrate	4	2	3	3	3	3	1	4	2	0	4	3	4	4	4	5	4	2	2	4	3	4	3	2147483647	2
propionyl-carnitine	2	4	1	5	2	4	5	4	4	4	0	2	4	6	4	5	5	4	2	2	5	2	5	2147483647	4
adipoyl carnitine	2	4	1	4	2	2	4	4	4	3	2	0	4	5	4	4	5	3	2	2	4	2	4	2147483647	3
3-methyl-2-oxopentanoate	4	5	4	5	4	4	5	4	5	4	4	4	0	6	4	5	5	4	4	4	5	3	5	2147483647	4
D-glycerate	6	4	5	5	5	5	5	5	3	4	6	5	6	0	6	6	6	4	4	6	3	6	5	2147483647	4
(2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate	4	4	5	5	4	4	5	4	5	4	4	4	4	6	0	5	1	4	4	4	5	4	5	2147483647	4
Porphobilinogen	5	6	5	6	5	4	5	3	5	5	5	4	5	6	5	0	5	5	5	5	5	5	6	2147483647	4
L-glutamine	5	3	5	5	5	5	4	4	4	4	5	5	5	6	1	5	0	4	4	5	5	5	5	2147483647	4
N-Acetylmethionine	4	3	3	3	3	3	3	4	3	2	4	3	4	4	4	5	4	0	2	4	3	4	3	2147483647	2
O-acetylcarnitine	2	3	1	3	2	3	3	4	3	2	2	2	4	4	4	5	4	2	0	2	3	2	3	2147483647	2
isovalvaleryl carnitine	2	5	1	5	2	4	5	4	5	4	2	2	4	6	4	5	5	4	2	0	5	2	5	2147483647	4
N-acetylneuraminate	5	3	4	2	4	4	4	4	2	3	5	4	5	3	5	5	5	3	3	5	0	5	4	2147483647	3
tiglyl carnitine	2	5	1	5	2	4	5	4	5	4	2	2	3	6	4	5	5	4	2	2	5	0	5	2147483647	4
choline	5	4	4	4	4	4	4	5	4	3	5	4	5	5	5	6	5	3	3	5	4	5	0	2147483647	3
D-ribitol	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	2147483647	0	?
N-acetyl-L-alanine	4	3	3	3	3	3	3	3	3	2	4	3	4	4	4	4	4	2	2	4	3	4	3	2147483647	0
