4-hydroxyphenylacetate	0	9.0	8.0	11.0	8.0	9.0	7.0	7.0	9.0	10.0	9.0	14.0	6.0	9.0	10.0	9.0	9.0	5.0	6.0	7.0	10.0	6.0	11.0	4.0	9.0	10.0	9.0	8.0	7.0	9.0	9.0	8.0	9.0	7.0	8.0	9.0	6.0	9.0	9.0	8.0	8.0	11.0	9.0	9.0	8.0	7.0	9.0	7.0	7.0	10.0	9.0	6.0	10.0	9.0	8.0	3.0	9.0	7.0	7.0	7.0	7
(R)-3-hydroxybutyrate	9.0	0	5.0	7.0	4.0	5.0	5.0	5.0	5.0	9.0	5.0	11.0	7.0	5.0	6.0	5.0	5.0	7.0	6.0	4.0	8.0	4.0	9.0	7.0	5.0	6.0	5.0	4.0	5.0	5.0	5.0	7.0	5.0	9.0	6.0	5.0	6.0	7.0	5.0	6.0	1.0	9.0	5.0	5.0	4.0	6.0	5.0	4.0	6.0	6.0	5.0	5.0	7.0	5.0	6.0	6.0	5.0	5.0	5.0	5.0	6
palmitate	8.0	5.0	0	6.0	3.0	3.0	4.0	4.0	4.0	6.0	4.0	11.0	6.0	5.0	5.0	4.0	5.0	6.0	5.0	3.0	7.0	3.0	9.0	6.0	4.0	5.0	5.0	4.0	4.0	4.0	3.0	6.0	5.0	7.0	6.0	4.0	5.0	6.0	3.0	6.0	4.0	8.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	6.0	4.0	5.0	6.0	4.0	4.0	4.0	4.0	4
D-Fructose	11.0	7.0	6.0	0	5.0	6.0	7.0	5.0	6.0	2.0	6.0	7.0	8.0	7.0	8.0	7.0	7.0	8.0	8.0	4.0	7.0	5.0	5.0	8.0	7.0	6.0	8.0	7.0	6.0	7.0	7.0	5.0	8.0	10.0	8.0	7.0	5.0	7.0	6.0	8.0	6.0	8.0	7.0	6.0	6.0	5.0	6.0	6.0	7.0	8.0	7.0	6.0	3.0	6.0	6.0	8.0	6.0	6.0	6.0	6.0	6
Citrate	8.0	4.0	3.0	5.0	0	3.0	4.0	2.0	3.0	7.0	3.0	10.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0	1.0	5.0	2.0	8.0	5.0	4.0	5.0	4.0	3.0	3.0	4.0	4.0	5.0	4.0	7.0	5.0	4.0	4.0	5.0	3.0	5.0	3.0	6.0	4.0	3.0	3.0	4.0	3.0	2.0	4.0	5.0	4.0	3.0	5.0	3.0	4.0	5.0	3.0	4.0	3.0	3.0	3
stearate	9.0	5.0	3.0	6.0	3.0	0	4.0	4.0	4.0	8.0	4.0	11.0	6.0	5.0	5.0	4.0	5.0	6.0	5.0	3.0	7.0	3.0	9.0	6.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	6.0	5.0	8.0	6.0	4.0	5.0	6.0	4.0	6.0	4.0	8.0	4.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	6.0	3.0	5.0	6.0	4.0	4.0	4.0	4.0	5
4-methyl-2-oxopentanoate	7.0	5.0	4.0	7.0	4.0	4.0	0	5.0	4.0	8.0	4.0	12.0	5.0	5.0	5.0	4.0	6.0	6.0	1.0	4.0	7.0	4.0	9.0	3.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	6.0	5.0	7.0	5.0	4.0	5.0	6.0	4.0	6.0	4.0	8.0	4.0	4.0	5.0	6.0	4.0	5.0	6.0	5.0	4.0	3.0	7.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	6
cortisol	7.0	5.0	4.0	5.0	2.0	4.0	5.0	0	4.0	7.0	4.0	9.0	5.0	5.0	6.0	5.0	4.0	6.0	6.0	1.0	5.0	3.0	7.0	6.0	5.0	6.0	6.0	5.0	4.0	5.0	5.0	5.0	6.0	6.0	6.0	5.0	4.0	5.0	4.0	5.0	4.0	6.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	6.0	5.0	4.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	3.0	2
adrenic acid	9.0	5.0	4.0	6.0	3.0	4.0	4.0	4.0	0	8.0	4.0	11.0	6.0	5.0	5.0	4.0	6.0	6.0	5.0	3.0	7.0	3.0	9.0	6.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	6.0	5.0	8.0	6.0	4.0	5.0	6.0	4.0	6.0	4.0	8.0	3.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	6.0	4.0	5.0	6.0	4.0	4.0	4.0	4.0	5
D-glucose	10.0	9.0	6.0	2.0	7.0	8.0	8.0	7.0	8.0	0	8.0	9.0	8.0	9.0	9.0	8.0	8.0	7.0	9.0	6.0	5.0	7.0	4.0	9.0	8.0	5.0	8.0	7.0	8.0	8.0	8.0	7.0	8.0	9.0	10.0	8.0	5.0	8.0	8.0	9.0	8.0	6.0	6.0	8.0	8.0	6.0	8.0	7.0	9.0	9.0	8.0	8.0	5.0	8.0	8.0	8.0	8.0	6.0	7.0	8.0	8
