3-hydroxy-isovaleryl carnitine	0	1	3	6	6	5	2	6	3	4	3	7	6	3	2	2	6	4	14	5	6	5	2	2	7	2	5
L-Carnitine	1	0	5	7	8	7	1	7	5	6	5	8	4	5	1	1	4	5	10	3	8	7	1	1	8	1	3
4-acetamidobutanoate	3	5	0	5	5	2	6	5	2	3	2	6	6	2	4	4	6	5	13	5	5	4	5	6	6	6	5
N-acetyl-D-glucosamine	6	7	5	0	8	7	8	4	5	4	5	5	6	3	7	8	6	4	5	5	3	7	3	8	2	8	5
indole-3-acetate	6	8	5	8	0	7	9	8	5	6	5	9	7	5	7	7	7	8	12	6	8	7	8	9	9	9	6
Folate	5	7	2	7	7	0	8	7	4	5	4	8	8	4	6	6	8	7	15	7	6	6	6	8	8	8	3
butyryl carnitine	2	1	6	8	9	8	0	8	6	7	6	9	5	6	2	2	5	6	11	4	9	8	2	2	9	2	4
D-glucitol	6	7	5	4	8	7	8	0	5	6	5	5	6	5	7	8	6	4	16	5	7	7	7	8	5	8	5
adipic acid	3	5	2	5	5	4	6	5	0	3	2	6	6	2	4	2	6	5	13	5	5	4	5	6	6	6	5
cis-aconitate(3-)	4	6	3	4	6	5	7	6	3	0	3	7	7	1	5	5	7	6	5	6	3	5	3	7	7	7	6
2-deoxy-D-ribose	3	5	2	5	5	4	6	5	2	3	0	6	6	2	4	4	6	5	13	5	5	4	5	6	6	6	5
(S)-malate(2-)	7	8	6	5	9	8	9	5	6	7	6	0	7	6	8	9	7	5	8	6	6	8	6	9	6	9	6
glycocholate	6	4	6	6	7	8	5	6	6	7	6	7	0	6	8	5	4	6	8	3	5	8	5	5	7	5	3
Citrate	3	5	2	3	5	4	6	5	2	1	2	6	6	0	4	4	6	5	4	5	2	4	2	6	6	6	5
propionyl-carnitine	2	1	4	7	7	6	2	7	4	5	4	8	8	4	0	2	8	7	15	7	7	6	2	2	8	2	7
adipoyl carnitine	2	1	4	8	7	6	2	8	2	5	4	9	5	4	2	0	5	6	11	4	7	6	2	2	9	2	4
3-methyl-2-oxopentanoate	6	4	6	6	7	8	5	6	6	7	6	7	4	6	8	5	0	6	8	3	5	8	5	5	7	5	3
(2S)-4-carbamoyl-2-(2-phenylacetamido)butanoate	4	5	5	4	8	7	6	4	5	6	5	5	6	5	7	6	6	0	16	5	7	7	6	6	5	6	5
5-Methylthioadenosine	14	16	13	5	12	15	17	16	13	5	13	8	8	4	15	15	8	16	0	7	4	15	4	17	17	17	7
phosphatidylserine	5	3	5	5	6	7	4	5	5	6	5	6	3	5	7	4	3	5	7	0	4	7	4	4	6	4	2
N-Acetylmethionine	6	8	5	3	8	6	9	7	5	3	5	6	5	2	7	7	5	7	4	4	0	7	2	9	8	9	4
L-threonate	5	7	4	7	7	6	8	7	4	5	4	8	8	4	6	6	8	7	15	7	7	0	7	8	8	8	7
O-acetylcarnitine	2	1	5	3	8	6	2	7	5	3	5	6	5	2	2	2	5	6	4	4	2	7	0	2	8	2	4
isovalvaleryl carnitine	2	1	6	8	9	8	2	8	6	7	6	9	5	6	2	2	5	6	11	4	9	8	2	0	9	2	4
N-acetylneuraminate	7	8	6	2	9	8	9	5	6	7	6	6	7	6	8	9	7	5	17	6	8	8	8	9	0	9	6
tiglyl carnitine	2	1	6	8	9	8	2	8	6	7	6	9	5	6	2	2	5	6	11	4	9	8	2	2	9	0	4
D-ribitol	5	3	5	5	6	3	4	5	5	6	5	6	3	5	7	4	3	5	7	2	4	7	4	4	6	4	0
