Porphobilinogen	0	7	6	3	6	6	6	5	5	6	4	7	7	3	4	7	3	7	6	6	5	6	9
Urate	7	0	3	6	6	7	5	8	8	6	4	7	4	6	7	5	6	4	5	3	5	6	7
phosphatidylserine	6	3	0	5	5	6	4	7	7	5	3	6	3	5	6	4	5	3	4	2	4	5	6
4-acetamidobutanoate	3	6	5	0	5	5	5	4	2	5	3	6	6	2	3	6	2	6	5	5	4	5	8
N-acetyl-D-glucosamine	6	6	5	5	0	8	3	7	7	4	6	2	6	5	4	8	5	6	3	5	8	4	11
indole-3-acetate	6	7	6	5	8	0	8	7	7	8	6	9	7	5	6	9	5	7	8	6	7	8	7
N-Acetylmethionine	6	5	4	5	3	8	0	7	6	7	6	8	5	5	3	9	5	5	2	4	7	7	11
L-threonate	5	8	7	4	7	7	7	0	6	7	5	8	8	4	5	8	4	8	7	7	6	7	10
Folate	5	8	7	2	7	7	6	6	0	7	5	8	8	4	5	8	4	8	6	3	6	7	10
D-glucitol	6	6	5	5	4	8	7	7	7	0	6	5	6	5	6	8	5	6	7	5	8	4	11
Xanthine	4	4	3	3	6	6	6	5	5	6	0	7	4	3	4	7	3	4	6	3	5	6	9
N-acetylneuraminate	7	7	6	6	2	9	8	8	8	5	7	0	7	6	7	9	6	7	8	6	9	5	12
L-phenylalanine	7	4	3	6	6	7	5	8	8	6	4	7	0	6	7	7	6	4	5	3	7	6	7
adipic acid	3	6	5	2	5	5	5	4	4	5	3	6	6	0	3	6	2	6	5	5	2	5	8
cis-aconitate(3-)	4	7	6	3	4	6	3	5	5	6	4	7	7	3	0	7	3	7	3	6	5	6	9
tiglyl carnitine	7	5	4	6	8	9	9	8	8	8	7	9	7	6	7	0	6	5	9	4	2	8	12
2-deoxy-D-ribose	3	6	5	2	5	5	5	4	4	5	3	6	6	2	3	6	0	6	5	5	4	5	8
glycocholate	7	4	3	6	6	7	5	8	8	6	4	7	4	6	7	5	6	0	5	3	5	6	7
N-acetyl-L-alanine	6	5	4	5	3	8	2	7	6	7	6	8	5	5	3	9	5	5	0	4	7	7	11
D-ribitol	6	3	2	5	5	6	4	7	3	5	3	6	3	5	6	4	5	3	4	0	4	5	6
adipoyl carnitine	5	5	4	4	8	7	7	6	6	8	5	9	7	2	5	2	4	5	7	4	0	8	10
creatinine	6	6	5	5	4	8	7	7	7	4	6	5	6	5	6	8	5	6	7	5	8	0	11
dopamine 3-O-sulfate	9	7	6	8	11	7	11	10	10	11	9	12	7	8	9	12	8	7	11	6	10	11	0
